init_checkpoint=/root/incumbent/auxhead-lite/seed7/selected_model.pt
init_checkpoint_variant=tom
init_checkpoint_seed=7
init_checkpoint_train_episodes=800
init_checkpoint_missing_keys=[]
init_checkpoint_unexpected_keys=[]
episode=4300 loss=0.8967 policy_loss=0.4141 reward_sum=-0.200
episode=4350 loss=0.9813 policy_loss=-0.0935 reward_sum=-0.880
episode=4400 loss=1.1474 policy_loss=0.6739 reward_sum=-0.200
episode=4450 loss=0.9596 policy_loss=-0.1776 reward_sum=-0.915
episode=4500 loss=0.4195 policy_loss=-0.0455 reward_sum=-0.720
episode=4550 loss=1.1735 policy_loss=-0.0696 reward_sum=-0.420
episode=4600 loss=0.8139 policy_loss=0.3315 reward_sum=-0.200
episode=4650 loss=1.1123 policy_loss=0.0404 reward_sum=-0.392
episode=4700 loss=0.7198 policy_loss=0.2318 reward_sum=-0.200
episode=4750 loss=0.9207 policy_loss=0.0433 reward_sum=-0.940
episode=4800 loss=0.7002 policy_loss=0.2077 reward_sum=-0.200
episode=4850 loss=0.9446 policy_loss=-0.0358 reward_sum=-0.380
episode=4900 loss=0.6721 policy_loss=0.1699 reward_sum=-0.200
episode=4950 loss=1.0525 policy_loss=0.1445 reward_sum=-0.420
episode=5000 loss=1.1631 policy_loss=0.6504 reward_sum=-0.200
episode=5050 loss=0.3739 policy_loss=-0.7100 reward_sum=-1.260
episode=5100 loss=0.9380 policy_loss=0.4269 reward_sum=-0.200
episode=5150 loss=0.9883 policy_loss=0.0160 reward_sum=-0.372
episode=5200 loss=0.3795 policy_loss=-0.1220 reward_sum=-0.740
episode=5250 loss=1.0909 policy_loss=0.0405 reward_sum=-0.480
episode=5300 loss=0.3089 policy_loss=-0.1750 reward_sum=-0.750
episode=5350 loss=1.2184 policy_loss=0.1207 reward_sum=-0.440
episode=5400 loss=0.5865 policy_loss=0.1017 reward_sum=-0.200
episode=5450 loss=1.2233 policy_loss=0.1100 reward_sum=-0.432
episode=5500 loss=0.7173 policy_loss=0.2371 reward_sum=-0.200
episode=5550 loss=0.9550 policy_loss=-0.0242 reward_sum=-0.940
episode=5600 loss=0.7048 policy_loss=0.2064 reward_sum=-0.200
episode=5650 loss=0.9381 policy_loss=-0.2280 reward_sum=-1.004
episode=5700 loss=0.5728 policy_loss=0.0911 reward_sum=-0.200
episode=5750 loss=1.2236 policy_loss=0.0724 reward_sum=-1.055
episode=5800 loss=0.7035 policy_loss=0.2445 reward_sum=-0.200
episode=5850 loss=0.9770 policy_loss=-0.0195 reward_sum=-0.940
episode=5900 loss=0.5221 policy_loss=0.0512 reward_sum=-0.720
episode=5950 loss=0.8097 policy_loss=-0.1689 reward_sum=-0.947
episode=6000 loss=0.6396 policy_loss=0.1600 reward_sum=-0.200
episode=6050 loss=1.1877 policy_loss=0.0677 reward_sum=-1.065
episode=6100 loss=0.6926 policy_loss=0.1951 reward_sum=-0.200
episode=6150 loss=0.7851 policy_loss=-0.3440 reward_sum=-1.092
episode=6200 loss=0.5894 policy_loss=0.0923 reward_sum=-0.200
episode=6250 loss=0.7883 policy_loss=-0.3460 reward_sum=-0.484
episode=6300 loss=0.3138 policy_loss=-0.1717 reward_sum=-0.770
episode=6350 loss=0.8460 policy_loss=-0.0238 reward_sum=-0.420
episode=6400 loss=0.8226 policy_loss=0.3065 reward_sum=-0.200
episode=6450 loss=1.1227 policy_loss=0.0488 reward_sum=-0.440
episode=6500 loss=0.3401 policy_loss=-0.1184 reward_sum=-0.720
episode=6550 loss=1.0685 policy_loss=-0.1771 reward_sum=-1.005
episode=6600 loss=0.1707 policy_loss=-0.3147 reward_sum=-0.200
episode=6650 loss=1.1496 policy_loss=0.0671 reward_sum=-0.452
episode=6700 loss=0.4999 policy_loss=0.0240 reward_sum=-0.200
episode=6750 loss=0.8359 policy_loss=-0.1449 reward_sum=-0.875
episode=6800 loss=0.6183 policy_loss=0.1497 reward_sum=-0.720
episode=6850 loss=1.4157 policy_loss=0.2491 reward_sum=-0.400
episode=6900 loss=0.8588 policy_loss=0.3696 reward_sum=-0.200
episode=6950 loss=0.8986 policy_loss=-0.1059 reward_sum=-0.985
episode=7000 loss=0.6640 policy_loss=0.1569 reward_sum=-0.200
episode=7050 loss=1.2717 policy_loss=0.2030 reward_sum=-0.420
episode=7100 loss=0.8693 policy_loss=0.3711 reward_sum=-0.200
episode=7150 loss=1.0106 policy_loss=-0.0256 reward_sum=-0.940
episode=7200 loss=0.6359 policy_loss=0.1680 reward_sum=-0.200
episode=7250 loss=1.0909 policy_loss=-0.1053 reward_sum=-0.965
episode=7300 loss=0.2709 policy_loss=-0.1688 reward_sum=-0.740
episode=7350 loss=0.9780 policy_loss=-0.1572 reward_sum=-0.960
episode=7400 loss=0.5459 policy_loss=0.0662 reward_sum=-0.200
episode=7450 loss=0.9656 policy_loss=-0.0282 reward_sum=-0.940
episode=7500 loss=0.6662 policy_loss=0.2118 reward_sum=-0.200
episode=7550 loss=1.1839 policy_loss=0.1220 reward_sum=-0.500
episode=7600 loss=0.3654 policy_loss=-0.1186 reward_sum=-0.200
episode=7650 loss=1.0788 policy_loss=0.0060 reward_sum=-1.040
episode=7700 loss=0.6818 policy_loss=0.1836 reward_sum=-0.200
episode=7750 loss=1.0605 policy_loss=-0.1026 reward_sum=-0.420
episode=7800 loss=0.4542 policy_loss=-0.0225 reward_sum=-0.200
episode=7850 loss=1.1191 policy_loss=-0.3416 reward_sum=-1.100
episode=7900 loss=0.6843 policy_loss=0.1789 reward_sum=-0.200
episode=7950 loss=1.0673 policy_loss=0.0438 reward_sum=-1.055
episode=8000 loss=0.4308 policy_loss=-0.0372 reward_sum=-0.200
episode=8050 loss=0.8163 policy_loss=-0.3624 reward_sum=-0.935
episode=8100 loss=0.7117 policy_loss=0.2016 reward_sum=-0.200
episode=8150 loss=1.0127 policy_loss=-0.1781 reward_sum=-1.025
episode=8200 loss=0.4926 policy_loss=0.0118 reward_sum=-0.760
episode=8250 loss=1.1994 policy_loss=0.0753 reward_sum=-1.090
episode=8300 loss=0.3408 policy_loss=-0.0905 reward_sum=-0.720
episode=8350 loss=0.9837 policy_loss=-0.1247 reward_sum=-0.940
episode=8400 loss=0.4514 policy_loss=-0.0299 reward_sum=-0.200
episode=8450 loss=1.0499 policy_loss=0.0409 reward_sum=-0.440
episode=8500 loss=0.6826 policy_loss=0.1699 reward_sum=-0.200
episode=8550 loss=1.0161 policy_loss=-0.1743 reward_sum=-0.915
episode=8600 loss=0.3215 policy_loss=-0.1064 reward_sum=-0.720
episode=8650 loss=0.9301 policy_loss=-0.0288 reward_sum=-0.940
episode=8700 loss=0.3334 policy_loss=-0.1515 reward_sum=-0.790
episode=8750 loss=1.0448 policy_loss=-0.1783 reward_sum=-0.915
episode=8800 loss=0.3003 policy_loss=-0.1819 reward_sum=-0.750
episode=8850 loss=0.3075 policy_loss=-0.8470 reward_sum=-1.275
episode=8900 loss=0.4425 policy_loss=-0.0007 reward_sum=-0.720
episode=8950 loss=1.3766 policy_loss=0.1626 reward_sum=-0.472
episode=9000 loss=0.7123 policy_loss=0.2465 reward_sum=-0.200
episode=9050 loss=1.0843 policy_loss=-0.1579 reward_sum=-0.960
episode=9100 loss=0.7812 policy_loss=0.2907 reward_sum=-0.200
episode=9150 loss=1.0461 policy_loss=-0.1628 reward_sum=-0.960
episode=9200 loss=0.6842 policy_loss=0.1766 reward_sum=-0.200
episode=9250 loss=0.9432 policy_loss=-0.0523 reward_sum=-0.940
episode=9300 loss=1.0168 policy_loss=0.5352 reward_sum=-0.200
episode=9350 loss=0.8760 policy_loss=-0.0564 reward_sum=-0.940
episode=9400 loss=0.6008 policy_loss=0.1393 reward_sum=-0.200
episode=9450 loss=0.9411 policy_loss=-0.0551 reward_sum=-0.940
episode=9500 loss=0.6520 policy_loss=0.1838 reward_sum=-0.200
episode=9550 loss=1.2593 policy_loss=-0.0210 reward_sum=-0.460
episode=9600 loss=0.5547 policy_loss=0.0588 reward_sum=-0.200
episode=9650 loss=0.8523 policy_loss=-0.1308 reward_sum=-0.875
episode=9700 loss=0.7614 policy_loss=0.2691 reward_sum=-0.200
episode=9750 loss=0.7365 policy_loss=-0.1802 reward_sum=-0.880
episode=9800 loss=0.7551 policy_loss=0.2572 reward_sum=-0.200
episode=9850 loss=0.9252 policy_loss=-0.0387 reward_sum=-0.940
episode=9900 loss=0.6499 policy_loss=0.1701 reward_sum=-0.200
episode=9950 loss=0.9878 policy_loss=-0.0601 reward_sum=-0.940
episode=10000 loss=0.3500 policy_loss=-0.1005 reward_sum=-0.720
episode=10050 loss=0.9485 policy_loss=-0.1214 reward_sum=-0.900
episode=10100 loss=0.6090 policy_loss=0.1170 reward_sum=-0.200
episode=10150 loss=0.8647 policy_loss=-0.1819 reward_sum=-0.920
episode=10200 loss=0.8517 policy_loss=0.3761 reward_sum=-0.200
episode=10250 loss=1.1225 policy_loss=-0.0644 reward_sum=-0.500
episode=10300 loss=0.3786 policy_loss=-0.1328 reward_sum=-0.200
episode=10350 loss=0.8263 policy_loss=-0.2168 reward_sum=-0.915
episode=10400 loss=0.3720 policy_loss=-0.0646 reward_sum=-0.770
episode=10450 loss=1.5264 policy_loss=0.3565 reward_sum=-0.480
episode=10500 loss=0.3625 policy_loss=-0.0593 reward_sum=-0.720
episode=10550 loss=0.8690 policy_loss=-0.2566 reward_sum=-0.920
episode=10600 loss=0.3968 policy_loss=-0.0798 reward_sum=-0.200
episode=10650 loss=1.0446 policy_loss=-0.0314 reward_sum=-0.940
episode=10700 loss=0.6433 policy_loss=0.1921 reward_sum=-0.200
episode=10750 loss=0.6450 policy_loss=-0.2794 reward_sum=-0.932
episode=10800 loss=0.6998 policy_loss=0.2072 reward_sum=-0.200
episode=10850 loss=0.9289 policy_loss=-0.0368 reward_sum=-0.940
episode=10900 loss=0.5844 policy_loss=0.0952 reward_sum=-0.200
episode=10950 loss=1.0635 policy_loss=-0.1605 reward_sum=-0.960
episode=11000 loss=0.3907 policy_loss=-0.0870 reward_sum=-0.200
episode=11050 loss=1.1956 policy_loss=0.0219 reward_sum=-0.532
episode=11100 loss=0.7317 policy_loss=0.2108 reward_sum=-0.200
episode=11150 loss=0.7308 policy_loss=-0.2140 reward_sum=-0.915
