episode,reward_sum,reward_ma_10,policy_loss,entropy,aux_loss,behavior_aux_loss,total_loss
801.0,0.885,0.885,-0.48783397674560547,1.0456385612487793,1.3152648210525513,0.7458794713020325,0.04939475655555725
802.0,-0.8,0.04249999999999998,0.39608246088027954,0.8860363960266113,1.261669397354126,0.4023539125919342,0.8135672211647034
803.0,-1.277,-0.3973333333333333,0.16042642295360565,1.1849881410598755,1.442920446395874,0.923699676990509,0.8293155431747437
804.0,-1.295,-0.62175,-0.1993466019630432,1.2218018770217896,1.2126308679580688,0.7167502045631409,0.34941768646240234
805.0,-0.73,-0.6434,0.3441961407661438,0.8796011209487915,1.1540766954421997,0.3729219436645508,0.7493656277656555
806.0,-1.26,-0.7461666666666668,-0.11946766078472137,1.2388060092926025,1.130013108253479,0.9205434918403625,0.46265995502471924
807.0,0.865,-0.516,-0.08892809599637985,1.0194778442382812,1.267891764640808,0.7237399816513062,0.42884767055511475
808.0,0.6779999999999999,-0.36675,0.14492477476596832,1.1378041505813599,1.1008028984069824,0.8383792042732239,0.6328859925270081
809.0,0.795,-0.23766666666666664,-0.280604749917984,1.0420135259628296,1.024741291999817,0.9467467069625854,0.2724716067314148
810.0,0.6799999999999999,-0.1459,-0.23285818099975586,1.1391414403915405,1.5921332836151123,1.2563602924346924,0.481051504611969
811.0,0.793,-0.1551,-0.2693401575088501,0.9605916142463684,1.8150341510772705,0.6071458458900452,0.47836416959762573
812.0,0.84,0.008900000000000009,-0.3807661235332489,1.0642632246017456,1.246211051940918,0.7603104114532471,0.2135159969329834
813.0,-1.26,0.010599999999999998,-0.08266222476959229,1.0965958833694458,1.3991634845733643,0.5238659381866455,0.4602135717868805
814.0,-1.26,0.014099999999999991,-0.7802579998970032,1.143306016921997,1.4795844554901123,0.5884305834770203,-0.20034776628017426
815.0,0.87,0.17409999999999998,-0.3433420956134796,1.010562777519226,1.287514328956604,0.5577361583709717,0.1520136296749115
816.0,-1.28,0.17209999999999998,-0.15366758406162262,1.1034066677093506,1.43776535987854,0.5298569798469543,0.402771532535553
817.0,-0.785,0.007099999999999984,-0.33075812458992004,1.0643845796585083,1.6575251817703247,0.7714348435401917,0.3841813802719116
818.0,-0.2,-0.08070000000000002,-0.44074374437332153,0.8770564198493958,1.233873963356018,0.3719620108604431,-0.038222700357437134
819.0,-0.7999999999999999,-0.24020000000000002,0.07360713928937912,1.05861496925354,1.2025058269500732,0.8049027323722839,0.6790230870246887
820.0,-0.2,-0.3282,-0.38622555136680603,0.9064399600028992,2.0597143173217773,0.4134840965270996,0.2327795922756195
821.0,0.875,-0.32,-0.4714420735836029,0.9897467494010925,1.2402211427688599,0.6696970462799072,0.03067639470100403
822.0,-0.2,-0.42400000000000004,0.15981853008270264,0.8613392114639282,1.23764169216156,0.35697299242019653,0.559747576713562
823.0,-1.2349999999999999,-0.4215,-0.0205429345369339,1.198192834854126,1.4005552530288696,0.8472630977630615,0.6840804815292358
824.0,-0.32,-0.3275,-0.1739831268787384,1.1265009641647339,1.558321237564087,0.8227585554122925,0.43745315074920654
825.0,-0.74,-0.4885,0.14977754652500153,0.9170451760292053,1.1772774457931519,0.4003860354423523,0.5473847985267639
826.0,0.855,-0.275,-0.10862831771373749,1.0608553886413574,1.2028148174285889,0.7950969934463501,0.5008243322372437
