episode,reward_sum,reward_ma_10,policy_loss,entropy,aux_loss,behavior_aux_loss,total_loss
1.0,0.885,0.885,-0.4893484115600586,1.0452039241790771,1.3104336261749268,0.7400350570678711,0.04461817443370819
2.0,-0.8,0.04249999999999998,0.26935508847236633,0.9021166563034058,1.2613983154296875,0.41244998574256897,0.6890648603439331
3.0,-1.277,-0.3973333333333333,0.15626733005046844,1.188812494277954,1.4291181564331055,0.9303702116012573,0.8220521211624146
4.0,-1.295,-0.62175,-0.2097414880990982,1.220929503440857,1.2152915000915527,0.7103396058082581,0.3384944796562195
5.0,-0.73,-0.6434,0.34143874049186707,0.8801212310791016,1.1522151231765747,0.37439823150634766,0.7465464472770691
6.0,-1.26,-0.7461666666666668,-0.12565618753433228,1.2378339767456055,1.1262438297271729,0.9194561839103699,0.4550272226333618
7.0,0.865,-0.516,-0.0800035372376442,1.0447720289230347,1.2718721628189087,0.7514083385467529,0.44462305307388306
8.0,0.6779999999999999,-0.36675,0.1481381505727768,1.1288491487503052,1.0960077047348022,0.8078334331512451,0.6269543170928955
9.0,0.795,-0.23766666666666664,-0.28300657868385315,1.050599455833435,1.0254237651824951,0.9642031788825989,0.2745574414730072
10.0,0.6799999999999999,-0.1459,-0.2368668019771576,1.1333115100860596,1.600489616394043,1.2694542407989502,0.48232826590538025
11.0,0.793,-0.1551,-0.26520419120788574,0.9385684728622437,1.8492283821105957,0.5955843925476074,0.4925527572631836
12.0,0.84,0.008900000000000009,-0.38573241233825684,1.0646984577178955,1.2458314895629883,0.7543464303016663,0.20720908045768738
13.0,-1.26,0.010599999999999998,-0.0873710885643959,1.094931960105896,1.397463321685791,0.5237806439399719,0.4552927017211914
14.0,-1.26,0.014099999999999991,-0.7837430834770203,1.1416863203048706,1.487823724746704,0.589964747428894,-0.20130249857902527
15.0,0.87,0.17409999999999998,-0.34177958965301514,1.008286714553833,1.2911909818649292,0.558380663394928,0.15369993448257446
16.0,-1.28,0.17209999999999998,-0.15533199906349182,1.1018648147583008,1.447040319442749,0.5280352234840393,0.40265607833862305
17.0,-0.785,0.007099999999999984,-0.3302980661392212,1.0679656267166138,1.6529327630996704,0.7721953988075256,0.3840610980987549
18.0,-0.2,-0.08070000000000002,-0.47079020738601685,0.8816685676574707,1.2328846454620361,0.38080698251724243,-0.0662929117679596
19.0,-0.8099999999999999,-0.2412,-0.1980007439851761,1.064771294593811,1.1998873949050903,0.7707382440567017,0.4000117778778076
20.0,-0.72,-0.3812,0.029696861281991005,0.9004427790641785,1.9297345876693726,0.36690202355384827,0.609063982963562
21.0,0.9299999999999999,-0.36750000000000005,-0.28890836238861084,1.0479809045791626,1.231961727142334,0.7027965188026428,0.26240241527557373
22.0,-0.2,-0.4715,-0.015739792957901955,0.8374067544937134,1.2487752437591553,0.34491246938705444,0.38421881198883057
23.0,0.795,-0.266,0.30440783500671387,1.0310015678405762,0.9868338704109192,0.9305430054664612,0.8406150341033936
24.0,-0.3,-0.16999999999999998,0.06453084945678711,1.1234301328659058,1.54111647605896,0.992284893989563,0.7159456014633179
25.0,-0.73,-0.32999999999999996,0.31501439213752747,0.8981625437736511,1.195941686630249,0.3831544518470764,0.7138479351997375
26.0,-1.275,-0.3295,0.44501054286956787,1.281470775604248,1.112385630607605,1.03568696975708,1.0481562614440918
27.0,0.905,-0.16049999999999998,-0.1780512034893036,1.0161190032958984,1.2682249546051025,0.7222828269004822,0.34292834997177124
28.0,-0.33999999999999997,-0.17449999999999996,0.02779979631304741,1.1126177310943604,1.072256326675415,0.8129483461380005,0.5003929138183594
29.0,-0.215,-0.11499999999999999,-0.14551997184753418,1.0011448860168457,0.9909366369247437,0.891518235206604,0.39745503664016724
30.0,-0.352,-0.07819999999999998,-0.38065198063850403,1.0997204780578613,1.5830161571502686,1.4271297454833984,0.37296536564826965
31.0,0.86,-0.08519999999999997,-0.35630664229393005,0.9853447675704956,1.884080171585083,0.6612874269485474,0.4249626100063324
32.0,0.86,0.02080000000000002,-0.10997176170349121,1.0953079462051392,1.2309123277664185,0.7900282740592957,0.48756831884384155
33.0,-1.26,-0.18469999999999998,-0.057483773678541183,1.167077898979187,1.397169828414917,0.573481023311615,0.4951670169830322
