init_checkpoint=/root/incumbent/auxhead-lite-v2-local800/seed7/selected_model.pt
init_checkpoint_variant=tom
init_checkpoint_seed=7
init_checkpoint_train_episodes=800
init_checkpoint_missing_keys=[]
init_checkpoint_unexpected_keys=[]
latest_curve_csv=/root/outputs/auxhead-lite/seed7/target-140000/curves/latest-curve-tom-seed7.csv
episode=4850 loss=0.6858 policy_loss=0.1512 reward_sum=0.568
episode=4900 loss=0.5763 policy_loss=0.0114 reward_sum=-0.164
episode=4950 loss=0.7153 policy_loss=0.2132 reward_sum=-0.730
episode=5000 loss=0.5744 policy_loss=0.0306 reward_sum=-0.140
episode=5050 loss=0.5810 policy_loss=0.1325 reward_sum=0.463
episode=5100 loss=0.6069 policy_loss=0.0469 reward_sum=-0.140
episode=5150 loss=0.3110 policy_loss=-0.1512 reward_sum=0.493
episode=5200 loss=1.0298 policy_loss=0.5175 reward_sum=0.856
episode=5250 loss=0.2514 policy_loss=-0.2010 reward_sum=-0.712
episode=5300 loss=0.3736 policy_loss=-0.1301 reward_sum=-1.228
episode=5350 loss=0.5962 policy_loss=0.1100 reward_sum=0.372
episode=5400 loss=0.6954 policy_loss=0.1281 reward_sum=-0.116
episode=5450 loss=0.5391 policy_loss=0.0370 reward_sum=0.338
episode=5500 loss=0.6605 policy_loss=0.0999 reward_sum=-0.104
episode=5550 loss=0.9840 policy_loss=0.5370 reward_sum=0.694
episode=5600 loss=0.2637 policy_loss=-0.2749 reward_sum=-0.152
episode=5650 loss=0.8411 policy_loss=0.3832 reward_sum=0.616
episode=5700 loss=0.6449 policy_loss=0.0857 reward_sum=-0.128
episode=5750 loss=0.4676 policy_loss=0.0185 reward_sum=0.490
episode=5800 loss=0.6286 policy_loss=0.0649 reward_sum=-0.140
episode=5850 loss=0.9610 policy_loss=0.4174 reward_sum=0.589
episode=5900 loss=0.6988 policy_loss=0.1325 reward_sum=-0.152
episode=5950 loss=0.0738 policy_loss=-0.7635 reward_sum=-1.357
episode=6000 loss=0.5604 policy_loss=0.0200 reward_sum=-0.164
episode=6050 loss=0.8264 policy_loss=-0.0090 reward_sum=-1.322
episode=6100 loss=0.2641 policy_loss=-0.2778 reward_sum=-0.164
episode=6150 loss=0.4644 policy_loss=-0.0330 reward_sum=0.508
episode=6200 loss=0.9820 policy_loss=0.4486 reward_sum=-0.116
episode=6250 loss=0.3223 policy_loss=-0.1363 reward_sum=0.359
episode=6300 loss=0.5933 policy_loss=0.0714 reward_sum=-0.128
