init_checkpoint=/root/incumbent/v5-delayedtrust-split-candidate/seed7/selected_model.pt
init_checkpoint_variant=tom
init_checkpoint_seed=7
init_checkpoint_train_episodes=800
init_checkpoint_missing_keys=[]
init_checkpoint_unexpected_keys=[]
latest_curve_csv=/root/outputs/v5-delayedtrust-split-candidate/seed7/target-140000/curves/latest-curve-tom-seed7.csv
episode=4850 loss=0.4862 policy_loss=-0.1475 reward_sum=-0.603
episode=4900 loss=0.6610 policy_loss=0.1232 reward_sum=-0.164
episode=4950 loss=0.3998 policy_loss=-0.0918 reward_sum=0.437
episode=5000 loss=0.4707 policy_loss=-0.0470 reward_sum=-0.140
episode=5050 loss=0.6208 policy_loss=0.1049 reward_sum=-0.688
episode=5100 loss=0.6342 policy_loss=0.1093 reward_sum=-0.164
episode=5150 loss=0.4438 policy_loss=-0.0383 reward_sum=-0.648
episode=5200 loss=0.6838 policy_loss=0.1249 reward_sum=-0.128
episode=5250 loss=0.5075 policy_loss=0.0372 reward_sum=0.300
episode=5300 loss=0.9169 policy_loss=0.4094 reward_sum=-0.164
episode=5350 loss=0.0886 policy_loss=-0.6343 reward_sum=-1.279
episode=5400 loss=0.5703 policy_loss=0.0419 reward_sum=-0.140
episode=5450 loss=0.4383 policy_loss=-0.0410 reward_sum=0.545
episode=5500 loss=0.6886 policy_loss=0.1253 reward_sum=-0.140
episode=5550 loss=0.8987 policy_loss=0.3090 reward_sum=0.596
episode=5600 loss=0.3757 policy_loss=-0.1775 reward_sum=-0.128
episode=5650 loss=1.0296 policy_loss=0.4216 reward_sum=0.498
episode=5700 loss=1.4380 policy_loss=0.8671 reward_sum=-0.176
episode=5750 loss=0.3157 policy_loss=-0.2262 reward_sum=-0.676
episode=5800 loss=0.6952 policy_loss=0.1641 reward_sum=-0.128
episode=5850 loss=0.7350 policy_loss=0.2255 reward_sum=0.498
episode=5900 loss=0.6439 policy_loss=0.0962 reward_sum=-0.164
episode=5950 loss=1.0408 policy_loss=0.4871 reward_sum=0.745
episode=6000 loss=0.6207 policy_loss=0.0900 reward_sum=-0.200
episode=6050 loss=0.4785 policy_loss=-0.0646 reward_sum=0.559
episode=6100 loss=0.6980 policy_loss=0.1442 reward_sum=-0.152
episode=6150 loss=0.7159 policy_loss=0.1504 reward_sum=0.380
episode=6200 loss=0.5396 policy_loss=0.0256 reward_sum=-0.116
episode=6250 loss=0.3510 policy_loss=-0.2059 reward_sum=0.418
episode=6300 loss=0.5151 policy_loss=-0.0156 reward_sum=-0.140
episode=6350 loss=0.8203 policy_loss=-0.0775 reward_sum=-1.287
episode=6400 loss=0.4908 policy_loss=-0.0327 reward_sum=-0.152
episode=6450 loss=0.3122 policy_loss=-0.1837 reward_sum=0.542
episode=6500 loss=0.6761 policy_loss=0.1261 reward_sum=-0.164
episode=6550 loss=0.2212 policy_loss=-0.2858 reward_sum=0.532
episode=6600 loss=0.6825 policy_loss=0.1522 reward_sum=-0.152
episode=6650 loss=0.4867 policy_loss=0.0224 reward_sum=0.465
episode=6700 loss=0.6063 policy_loss=0.0574 reward_sum=-0.164
episode=6750 loss=0.8132 policy_loss=0.3497 reward_sum=0.545
episode=6800 loss=0.6861 policy_loss=0.1525 reward_sum=-0.140
latest_checkpoint=/root/outputs/v5-delayedtrust-split-candidate/seed7/target-140000/checkpoints/latest-tom_seed7.pt
latest_curve_csv=/root/outputs/v5-delayedtrust-split-candidate/seed7/target-140000/curves/latest-curve-tom-seed7.csv
episode=6850 loss=0.4806 policy_loss=-0.0186 reward_sum=0.492
episode=6900 loss=0.5655 policy_loss=0.0265 reward_sum=-0.140
episode=6950 loss=0.8067 policy_loss=-0.0775 reward_sum=-1.248
episode=7000 loss=0.4986 policy_loss=-0.0582 reward_sum=-0.152
episode=7050 loss=0.1006 policy_loss=-0.6995 reward_sum=-1.279
episode=7100 loss=0.5987 policy_loss=0.0678 reward_sum=-0.128
episode=7150 loss=-0.2355 policy_loss=-1.1348 reward_sum=-1.285
episode=7200 loss=0.6359 policy_loss=0.0836 reward_sum=-0.152
episode=7250 loss=0.5818 policy_loss=0.0641 reward_sum=0.568
episode=7300 loss=0.8395 policy_loss=0.2804 reward_sum=-0.176
episode=7350 loss=0.7522 policy_loss=-0.1500 reward_sum=-1.246
episode=7400 loss=0.5352 policy_loss=0.0242 reward_sum=-0.176
episode=7450 loss=0.3674 policy_loss=-0.0582 reward_sum=-0.608
episode=7500 loss=0.5340 policy_loss=0.0276 reward_sum=-0.164
episode=7550 loss=0.5936 policy_loss=-0.2994 reward_sum=-1.298
episode=7600 loss=0.5252 policy_loss=0.0401 reward_sum=-0.176
episode=7650 loss=0.7116 policy_loss=0.2317 reward_sum=0.583
episode=7700 loss=0.6015 policy_loss=0.0539 reward_sum=-0.200
episode=7750 loss=0.4052 policy_loss=-0.0071 reward_sum=0.380
episode=7800 loss=0.4052 policy_loss=-0.1100 reward_sum=-0.176
episode=7850 loss=0.3576 policy_loss=-0.0875 reward_sum=-0.712
episode=7900 loss=1.0005 policy_loss=0.4899 reward_sum=-0.152
episode=7950 loss=0.2663 policy_loss=-0.1671 reward_sum=-0.688
episode=8000 loss=0.5146 policy_loss=-0.0569 reward_sum=-0.164
episode=8050 loss=0.2780 policy_loss=-0.1686 reward_sum=0.469
episode=8100 loss=0.6782 policy_loss=0.1310 reward_sum=-0.128
episode=8150 loss=0.3596 policy_loss=-0.1346 reward_sum=0.437
episode=8200 loss=0.8209 policy_loss=0.2543 reward_sum=-0.140
episode=8250 loss=0.3225 policy_loss=-0.1254 reward_sum=-0.629
episode=8300 loss=1.1293 policy_loss=0.5891 reward_sum=-0.164
episode=8350 loss=0.5897 policy_loss=-0.4664 reward_sum=-1.526
episode=8400 loss=0.5488 policy_loss=0.0556 reward_sum=-0.140
episode=8450 loss=0.5687 policy_loss=0.0819 reward_sum=-0.634
episode=8500 loss=0.7584 policy_loss=0.2430 reward_sum=-0.104
episode=8550 loss=0.4050 policy_loss=-0.0790 reward_sum=0.367
episode=8600 loss=0.4514 policy_loss=-0.0635 reward_sum=-0.128
episode=8650 loss=0.5731 policy_loss=-0.3907 reward_sum=-1.298
episode=8700 loss=0.5981 policy_loss=0.0727 reward_sum=-0.164
episode=8750 loss=0.1962 policy_loss=-0.2650 reward_sum=-0.692
episode=8800 loss=0.7652 policy_loss=0.2393 reward_sum=-0.164
latest_checkpoint=/root/outputs/v5-delayedtrust-split-candidate/seed7/target-140000/checkpoints/latest-tom_seed7.pt
latest_curve_csv=/root/outputs/v5-delayedtrust-split-candidate/seed7/target-140000/curves/latest-curve-tom-seed7.csv
episode=8850 loss=0.3499 policy_loss=-0.1037 reward_sum=0.379
episode=8900 loss=0.6416 policy_loss=0.1356 reward_sum=-0.128
episode=8950 loss=0.1926 policy_loss=-0.5994 reward_sum=-1.248
episode=9000 loss=0.5503 policy_loss=0.0522 reward_sum=-0.152
episode=9050 loss=0.2211 policy_loss=-0.3012 reward_sum=0.452
episode=9100 loss=0.5866 policy_loss=0.0697 reward_sum=-0.116
episode=9150 loss=0.3517 policy_loss=-0.1273 reward_sum=0.457
episode=9200 loss=0.6183 policy_loss=0.1006 reward_sum=-0.140
episode=9250 loss=0.2020 policy_loss=-0.2508 reward_sum=0.320
episode=9300 loss=1.0115 policy_loss=0.5303 reward_sum=-0.165
episode=9350 loss=0.2826 policy_loss=-0.1411 reward_sum=0.359
episode=9400 loss=0.5553 policy_loss=0.0772 reward_sum=-0.128
episode=9450 loss=0.3328 policy_loss=-0.1126 reward_sum=0.508
episode=9500 loss=0.6067 policy_loss=0.0859 reward_sum=-0.152
episode=9550 loss=0.3096 policy_loss=-0.1471 reward_sum=0.347
episode=9600 loss=0.5112 policy_loss=-0.0577 reward_sum=-0.152
episode=9650 loss=0.4415 policy_loss=-0.0133 reward_sum=-0.732
episode=9700 loss=0.6175 policy_loss=0.1185 reward_sum=-0.188
episode=9750 loss=0.3250 policy_loss=-0.1488 reward_sum=0.488
episode=9800 loss=0.6252 policy_loss=0.1239 reward_sum=-0.164
episode=9850 loss=0.5993 policy_loss=0.2145 reward_sum=-0.650
episode=9900 loss=0.7443 policy_loss=0.1489 reward_sum=-0.128
episode=9950 loss=1.2271 policy_loss=0.7557 reward_sum=0.428
episode=10000 loss=0.6564 policy_loss=0.1471 reward_sum=-0.164
episode=10050 loss=0.1272 policy_loss=-0.3041 reward_sum=-0.712
episode=10100 loss=0.5356 policy_loss=0.0496 reward_sum=-0.152
episode=10150 loss=0.2897 policy_loss=-0.1965 reward_sum=0.359
episode=10200 loss=0.5435 policy_loss=0.0630 reward_sum=-0.152
episode=10250 loss=0.5669 policy_loss=0.0809 reward_sum=0.446
episode=10300 loss=0.5183 policy_loss=0.0598 reward_sum=-0.128
episode=10350 loss=0.3904 policy_loss=-0.0260 reward_sum=-0.700
episode=10400 loss=0.2792 policy_loss=-0.1719 reward_sum=-0.140
episode=10450 loss=0.4299 policy_loss=0.0292 reward_sum=0.380
episode=10500 loss=0.4371 policy_loss=0.0209 reward_sum=-0.164
episode=10550 loss=0.5802 policy_loss=0.1482 reward_sum=0.378
episode=10600 loss=0.4881 policy_loss=0.0662 reward_sum=-0.188
episode=10650 loss=0.0849 policy_loss=-0.3276 reward_sum=-0.688
episode=10700 loss=0.7552 policy_loss=0.3460 reward_sum=-0.164
episode=10750 loss=0.2034 policy_loss=-0.2094 reward_sum=0.466
episode=10800 loss=0.5844 policy_loss=0.1797 reward_sum=-0.152
latest_checkpoint=/root/outputs/v5-delayedtrust-split-candidate/seed7/target-140000/checkpoints/latest-tom_seed7.pt
latest_curve_csv=/root/outputs/v5-delayedtrust-split-candidate/seed7/target-140000/curves/latest-curve-tom-seed7.csv
episode=10850 loss=0.8616 policy_loss=0.0314 reward_sum=-1.287
episode=10900 loss=0.2709 policy_loss=-0.1376 reward_sum=-0.176
episode=10950 loss=0.1649 policy_loss=-0.6579 reward_sum=-1.248
episode=11000 loss=0.4611 policy_loss=0.0334 reward_sum=-0.152
episode=11050 loss=0.2850 policy_loss=-0.1738 reward_sum=0.328
episode=11100 loss=0.6039 policy_loss=0.1590 reward_sum=-0.104
episode=11150 loss=0.8682 policy_loss=0.4266 reward_sum=0.398
episode=11200 loss=0.5336 policy_loss=0.0919 reward_sum=-0.164
episode=11250 loss=0.1618 policy_loss=-0.2658 reward_sum=-0.692
episode=11300 loss=0.5857 policy_loss=0.1189 reward_sum=-0.128
episode=11350 loss=0.2701 policy_loss=-0.1786 reward_sum=0.339
episode=11400 loss=0.6019 policy_loss=0.1244 reward_sum=-0.140
episode=11450 loss=0.1821 policy_loss=-0.6723 reward_sum=-1.367
episode=11500 loss=0.8605 policy_loss=0.3809 reward_sum=-0.152
episode=11550 loss=0.2607 policy_loss=-0.1726 reward_sum=0.308
episode=11600 loss=0.5980 policy_loss=0.1276 reward_sum=-0.116
episode=11650 loss=0.3250 policy_loss=-0.1299 reward_sum=0.457
episode=11700 loss=0.8128 policy_loss=0.3621 reward_sum=-0.200
episode=11750 loss=0.2876 policy_loss=-0.1304 reward_sum=0.300
episode=11800 loss=0.5543 policy_loss=0.1552 reward_sum=-0.176
episode=11850 loss=0.1908 policy_loss=-0.2081 reward_sum=0.298
episode=11900 loss=0.5387 policy_loss=0.1158 reward_sum=-0.164
episode=11950 loss=0.1499 policy_loss=-0.2878 reward_sum=-0.692
episode=12000 loss=0.5718 policy_loss=0.1382 reward_sum=-0.200
episode=12050 loss=0.0539 policy_loss=-0.3741 reward_sum=-0.712
episode=12100 loss=0.5857 policy_loss=0.0978 reward_sum=-0.200
episode=12150 loss=0.3034 policy_loss=-0.1396 reward_sum=0.445
episode=12200 loss=0.6006 policy_loss=0.1274 reward_sum=-0.188
episode=12250 loss=0.3517 policy_loss=-0.1533 reward_sum=0.367
episode=12300 loss=0.5999 policy_loss=0.1004 reward_sum=-0.200
episode=12350 loss=0.2650 policy_loss=-0.1750 reward_sum=-0.700
episode=12400 loss=0.4712 policy_loss=-0.0258 reward_sum=-0.140
episode=12450 loss=0.1317 policy_loss=-0.3265 reward_sum=0.427
episode=12500 loss=0.6323 policy_loss=0.1218 reward_sum=-0.164
episode=12550 loss=0.1664 policy_loss=-0.4488 reward_sum=-1.248
episode=12600 loss=0.6428 policy_loss=0.1480 reward_sum=-0.188
episode=12650 loss=0.3469 policy_loss=-0.1115 reward_sum=0.508
episode=12700 loss=0.6202 policy_loss=0.0794 reward_sum=-0.200
episode=12750 loss=0.3135 policy_loss=-0.1157 reward_sum=0.508
episode=12800 loss=0.6410 policy_loss=0.1301 reward_sum=-0.152
latest_checkpoint=/root/outputs/v5-delayedtrust-split-candidate/seed7/target-140000/checkpoints/latest-tom_seed7.pt
latest_curve_csv=/root/outputs/v5-delayedtrust-split-candidate/seed7/target-140000/curves/latest-curve-tom-seed7.csv
episode=12850 loss=0.2544 policy_loss=-0.1288 reward_sum=0.437
episode=12900 loss=0.5303 policy_loss=0.0265 reward_sum=-0.200
episode=12950 loss=0.3057 policy_loss=-0.0630 reward_sum=-0.712
episode=13000 loss=0.4225 policy_loss=-0.0472 reward_sum=-0.200
episode=13050 loss=0.0976 policy_loss=-0.2811 reward_sum=0.308
episode=13100 loss=0.5648 policy_loss=0.0890 reward_sum=-0.140
episode=13150 loss=0.2748 policy_loss=-0.0943 reward_sum=0.379
episode=13200 loss=0.6410 policy_loss=0.1308 reward_sum=-0.164
episode=13250 loss=0.0006 policy_loss=-0.3697 reward_sum=0.339
episode=13300 loss=0.6835 policy_loss=0.1297 reward_sum=-0.164
episode=13350 loss=0.2285 policy_loss=-0.1733 reward_sum=0.320
episode=13400 loss=0.6590 policy_loss=0.1059 reward_sum=-0.200
